IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired,_batch_index,Status,Timestamp,SHPD_ShipmentMID,SHPH_ShipmentID,SHPH_ShipmentCode,PL_ProductId,SHPD_ProductName,SCPM_Code,SCPM_ID
707,1,2,0.1,0.1,,2,3,1,01010012DAV1FF,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:51,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
186,1,2,0.1,0.1,,2,3,1,01010012EJ32UB,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:51,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
585,1,2,0.1,0.1,,2,3,1,01010012HC5J8T,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:52,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
307,1,2,0.1,0.1,,2,3,1,01010012JWQFI9,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:52,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
382,1,2,0.1,0.1,,2,3,1,01010012NN2TLT,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:53,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
481,1,2,0.1,0.1,,2,3,1,01010012OEY6JA,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:53,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
313,1,2,0.1,0.1,,2,3,1,01010012RQOJY9,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:54,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
497,1,2,0.1,0.1,,2,3,1,01010012WLJBGK,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:54,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
613,1,2,0.1,0.1,,2,3,1,01010012XL8DNU,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:55,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
556,1,2,0.1,0.1,,2,3,1,01010012Y1SW25,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:56,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
345,1,2,0.1,0.1,,2,3,1,01010012ZN4OUH,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:56,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
425,1,2,0.1,0.1,,2,3,1,010100131EVGIG,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:57,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
362,1,2,0.1,0.1,,2,3,1,010100131IXL0Y,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:57,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
263,1,2,0.1,0.1,,2,3,1,0101001357HR7R,,2033-07-23T13:00:00.000Z,1,0,1,FAIL,2026-01-24 17:25:58,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
239,1,2,0.1,0.1,,2,3,1,010100135MW3ZE,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:58,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
734,1,2,0.1,0.1,,2,3,1,010100138AXX19,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:59,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
655,1,2,0.1,0.1,,2,3,1,010100139V5MOJ,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:00,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
257,1,2,0.1,0.1,,2,3,1,01010013AGNE3N,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:00,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
411,1,2,0.1,0.1,,2,3,1,01010013BIZC4X,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:01,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
721,1,2,0.1,0.1,,2,3,1,01010013C4PIAH,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:01,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
432,1,2,0.1,0.1,,2,3,1,01010013D32JHK,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:02,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
299,1,2,0.1,0.1,,2,3,1,01010013HCPL03,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:02,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
399,1,2,0.1,0.1,,2,3,1,01010013LE0BB9,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:03,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
587,1,2,0.1,0.1,,2,3,1,01010013PEB0RA,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:03,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
280,1,2,0.1,0.1,,2,3,1,01010013PM3VW8,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:04,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
599,1,2,0.1,0.1,,2,3,1,01010013Q4SEOG,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:05,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
256,1,2,0.1,0.1,,2,3,1,01010013RN95CG,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:05,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
647,1,2,0.1,0.1,,2,3,1,01010013S9UO82,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:06,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
172,1,2,0.1,0.1,,2,3,1,01010013T1Z5P0,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:06,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
435,1,2,0.1,0.1,,2,3,1,010100141N4BRK,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:07,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
572,1,2,0.1,0.1,,2,3,1,0101001450RDY0,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:08,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
552,1,2,0.1,0.1,,2,3,1,010100145K0VO7,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:08,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
119,1,2,0.1,0.1,,2,3,1,010100146IIQAU,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:09,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
665,1,2,0.1,0.1,,2,3,1,01010014DDRD73,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:09,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
648,1,2,0.1,0.1,,2,3,1,01010014GGG7L7,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:10,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
542,1,2,0.1,0.1,,2,3,1,01010014HGORIX,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:10,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
336,1,2,0.1,0.1,,2,3,1,01010014HOI2KJ,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:11,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
128,1,2,0.1,0.1,,2,3,1,01010014K6URTG,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:11,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
565,1,2,0.1,0.1,,2,3,1,01010014NWZ99E,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:12,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
539,1,2,0.1,0.1,,2,3,1,01010014P2UF80,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:13,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
743,1,2,0.1,0.1,,2,3,1,01010014PFV93X,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:13,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
522,1,2,0.1,0.1,,2,3,1,01010014PJSTAJ,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:14,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
476,1,2,0.1,0.1,,2,3,1,01010014PQ8QSP,,2033-07-23T13:00:00.000Z,1,0,1,FAIL,2026-01-24 17:26:14,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
650,1,2,0.1,0.1,,2,3,1,01010014RWYHB4,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:26:15,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
22,1,2,0.1,0.1,,1,3,1,0101001O9DTZ86,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:29:18,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
103,1,2,0.1,0.1,,1,3,1,0101001OFJE8CE,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:29:20,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
1,1,2,0.1,0.1,,1,3,1,0101001OFXMFHW,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:29:20,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
110,1,2,0.1,0.1,,1,3,1,0101001OKYP9EJ,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:29:21,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
105,1,2,0.1,0.1,,1,3,1,0101001QDZ7A3F,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:29:40,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
79,1,2,0.1,0.1,,1,3,1,0101001QGF19OC,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:29:40,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
57,1,2,0.1,0.1,,1,3,1,0101001QIFDZT1,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:29:41,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
66,1,2,0.1,0.1,,1,3,1,0101001QNV8I75,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:29:43,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
29,1,2,0.1,0.1,,1,3,1,0101001UYCSGZC,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:30:24,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
35,1,2,0.1,0.1,,1,3,1,0101001V614OIA,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:30:28,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
67,1,2,0.1,0.1,,1,3,1,0101001VC7XXGC,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:30:29,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
77,1,2,0.1,0.1,,1,3,1,0101001VG00ECI,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:30:30,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
107,1,2,0.1,0.1,,1,3,1,0101001VSSP0O4,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:30:34,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
58,1,2,0.1,0.1,,1,3,1,0101001WJHKTW9,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:30:41,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
26,1,2,0.1,0.1,,1,3,1,0101001WW2VGTV,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:30:46,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
91,1,2,0.1,0.1,,1,3,1,0101001WWW5JNC,,2033-07-23T13:00:00.000Z,1,0,0,PASS,2026-01-24 17:30:47,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
237,1,2,0.1,0.1,,2,3,1,01010011YGW8T4,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:39:12,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
237,1,2,0.1,0.1,,2,3,1,01010011YGW8T4,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:40:40,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
263,1,2,0.1,0.1,,2,3,1,0101001357HR7R,,2033-07-23T13:00:00.000Z,1,0,1,FAIL,2026-01-24 17:44:39,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
263,1,2,0.1,0.1,,2,3,1,0101001357HR7R,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:44:45,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
263,1,2,0.1,0.1,,2,3,1,0101001357HR7R,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:46:15,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
