IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired
607,1,2,0.1,0.1,,2,3,1,010100165SBN5X,,2033-07-23T13:00:00.000Z,,0
606,1,2,0.1,0.1,,2,3,1,0101001UDZ0KUO,,2033-07-23T13:00:00.000Z,,0
605,1,2,0.1,0.1,,2,3,1,0101001M59OUNC,,2033-07-23T13:00:00.000Z,,0
604,1,2,0.1,0.1,,2,3,1,0101001S04L5BX,,2033-07-23T13:00:00.000Z,,0
603,1,2,0.1,0.1,,2,3,1,01010015ZQDL7G,,2033-07-23T13:00:00.000Z,,0
602,1,2,0.1,0.1,,2,3,1,0101001Z23GWLA,,2033-07-23T13:00:00.000Z,,0
601,1,2,0.1,0.1,,2,3,1,0101001BMUH394,,2033-07-23T13:00:00.000Z,,0
600,1,2,0.1,0.1,,2,3,1,0101001HSFTDZW,,2033-07-23T13:00:00.000Z,,0
598,1,2,0.1,0.1,,2,3,1,0101001DVBVBMJ,,2033-07-23T13:00:00.000Z,,0
597,1,2,0.1,0.1,,2,3,1,0101001PS89RZQ,,2033-07-23T13:00:00.000Z,,0
596,1,2,0.1,0.1,,2,3,1,01010018QGWUNJ,,2033-07-23T13:00:00.000Z,,0
595,1,2,0.1,0.1,,2,3,1,0101001SNJ2MT0,,2033-07-23T13:00:00.000Z,,0
593,1,2,0.1,0.1,,2,3,1,0101001THT5SQV,,2033-07-23T13:00:00.000Z,,0
592,1,2,0.1,0.1,,2,3,1,0101001BVT5II9,,2033-07-23T13:00:00.000Z,,0
591,1,2,0.1,0.1,,2,3,1,010100181NFK4J,,2033-07-23T13:00:00.000Z,,0
590,1,2,0.1,0.1,,2,3,1,0101001INTJHV6,,2033-07-23T13:00:00.000Z,,0
589,1,2,0.1,0.1,,2,3,1,0101001GVFVXCY,,2033-07-23T13:00:00.000Z,,0
588,1,2,0.1,0.1,,2,3,1,01010015K6MK92,,2033-07-23T13:00:00.000Z,,0
586,1,2,0.1,0.1,,2,3,1,0101001UWKRGXS,,2033-07-23T13:00:00.000Z,,0
584,1,2,0.1,0.1,,2,3,1,0101001NNIW2QW,,2033-07-23T13:00:00.000Z,,0
583,1,2,0.1,0.1,,2,3,1,0101001JY8FF0H,,2033-07-23T13:00:00.000Z,,0
582,1,2,0.1,0.1,,2,3,1,0101001PNTSXK6,,2033-07-23T13:00:00.000Z,,0
581,1,2,0.1,0.1,,2,3,1,01010016AALBHD,,2033-07-23T13:00:00.000Z,,0
580,1,2,0.1,0.1,,2,3,1,0101001GV5SE3S,,2033-07-23T13:00:00.000Z,,0
579,1,2,0.1,0.1,,2,3,1,0101001RHDAEKY,,2033-07-23T13:00:00.000Z,,0
578,1,2,0.1,0.1,,2,3,1,0101001BK1ZQVG,,2033-07-23T13:00:00.000Z,,0
577,1,2,0.1,0.1,,2,3,1,0101001KDZR4TW,,2033-07-23T13:00:00.000Z,,0
576,1,2,0.1,0.1,,2,3,1,0101001EKXO5UR,,2033-07-23T13:00:00.000Z,,0
575,1,2,0.1,0.1,,2,3,1,0101001DESIGGC,,2033-07-23T13:00:00.000Z,,0
574,1,2,0.1,0.1,,2,3,1,0101001KTUCIDR,,2033-07-23T13:00:00.000Z,,0
573,1,2,0.1,0.1,,2,3,1,0101001VIOIXFZ,,2033-07-23T13:00:00.000Z,,0
571,1,2,0.1,0.1,,2,3,1,0101001Q8WC5D2,,2033-07-23T13:00:00.000Z,,0
570,1,2,0.1,0.1,,2,3,1,0101001Y9J36Y8,,2033-07-23T13:00:00.000Z,,0
569,1,2,0.1,0.1,,2,3,1,0101001C415PXP,,2033-07-23T13:00:00.000Z,,0
568,1,2,0.1,0.1,,2,3,1,0101001ZRYDA0J,,2033-07-23T13:00:00.000Z,,0
567,1,2,0.1,0.1,,2,3,1,0101001IHTRSVU,,2033-07-23T13:00:00.000Z,,0
566,1,2,0.1,0.1,,2,3,1,0101001HKEFTW8,,2033-07-23T13:00:00.000Z,,0
564,1,2,0.1,0.1,,2,3,1,0101001KWI4PTR,,2033-07-23T13:00:00.000Z,,0
563,1,2,0.1,0.1,,2,3,1,01010015305M7N,,2033-07-23T13:00:00.000Z,,0
562,1,2,0.1,0.1,,2,3,1,0101001TS5S8M7,,2033-07-23T13:00:00.000Z,,0
561,1,2,0.1,0.1,,2,3,1,0101001HG52DQL,,2033-07-23T13:00:00.000Z,,0
560,1,2,0.1,0.1,,2,3,1,0101001Y4BMDHR,,2033-07-23T13:00:00.000Z,,0
559,1,2,0.1,0.1,,2,3,1,0101001IZINPGQ,,2033-07-23T13:00:00.000Z,,0
558,1,2,0.1,0.1,,2,3,1,0101001XWDAES0,,2033-07-23T13:00:00.000Z,,0
